Method	cvs	DataSet	AUPR	AUC	param
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	nr1	0.673069	0.883772	{'w': 0.82}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	gpcr1	0.87045	0.977505	{'w': 0.93}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	ic1	0.94345	0.989002	{'w': 0.85}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	e1	0.857786	0.983386	{'w': 0.36}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	2	nr1	0.565048	0.836354	{'w': 0.83}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	2	gpcr1	0.552239	0.925501	{'w': 0.79}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	2	ic1	0.498336	0.826546	{'w': 0.82}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	2	e1	0.42722	0.891048	{'w': 0.81}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	3	nr1	0.588279	0.823068	{'w': 0.92}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	3	gpcr1	0.782939	0.960718	{'w': 0.78}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	3	ic1	0.864883	0.967499	{'w': 0.79}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	3	e1	0.732639	0.944759	{'w': 0.82}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	4	nr1	0.292276	0.653099	{'w': 0.89}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	4	gpcr1	0.403858	0.88479	{'w': 0.89}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	4	ic1	0.346968	0.778152	{'w': 0.92}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	4	e1	0.237913	0.821051	{'w': 0.88}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	dtip	0.560533	0.960519	{'w': 0.59}
LCS_SV_TRANS_MF2A_TRANS_Combine_Sims_Limb3	1	luo	0.653245	0.965536	{'w': 0.74}
